vessel_volume,feed_temperature,feed_mass_flow,tr2-butene_mass_fr,feed_mass_dens,prod_mass_dens,prod_temperature
0.11,38.0,1.9722,0.8767,603.5113,554.461,62.0599
0.11,38.0,1.9722,0.8767,603.5113,554.461,62.0599
0.11,38.0,1.9722,0.8767,603.5113,545.8149,68.0152
0.11,45.0,1.9722,0.875,594.6508,545.8149,68.0152
0.11,45.0,1.9722,0.875,594.6508,545.8149,68.0152
0.11,45.0,1.9722,0.875,594.6508,545.8149,68.0152
0.11,45.0,1.9722,0.875,589.4674,540.7159,71.4186
0.11,50.0,1.9722,0.8737,588.1569,539.4253,72.2669
0.11,50.0,1.9722,0.8737,588.1569,539.4253,72.2669
0.11,50.0,1.9722,0.8737,588.1569,539.4253,72.2669
0.11,50.0,2.1389,0.8726,628.7474,579.1319,43.9829
0.11,17.0,2.1389,0.8726,628.7474,579.1319,43.9829
0.11,17.0,2.1389,0.8722,626.4195,576.9266,45.6798
0.11,19.0,2.1389,0.8722,626.4195,576.9266,45.6798
0.11,19.0,2.1389,0.8722,626.4195,576.9266,45.6798
0.11,22.0,2.1389,0.8715,622.9003,573.583,48.2271
0.11,22.0,2.1389,0.8713,621.7197,572.4588,49.0766
0.11,23.0,2.1389,0.8713,621.7197,572.4588,49.0766
0.11,23.0,2.1389,0.8713,621.7197,572.4588,49.0766
0.11,23.0,2.1389,0.8713,621.7197,572.4588,49.0766
0.11,23.0,2.1389,0.8713,621.7197,572.4588,49.0766
0.11,23.0,2.1389,0.8713,621.7197,566.759,53.3287
0.11,28.0,2.1389,0.8702,615.7575,566.759,54.1782
0.11,29.0,2.1389,0.87,614.5528,565.6052,54.1782
0.11,29.0,2.1389,0.87,614.5528,565.6052,54.1782
0.11,29.0,2.1389,0.87,614.5528,565.6052,54.1782
0.11,29.0,2.1389,0.869,609.691,560.9259,57.584
0.11,33.0,2.1389,0.8688,608.4644,559.7441,58.4341
0.11,34.0,2.1389,0.8688,608.4644,559.7441,58.4341
